Occurred ,Stud-ID,Fault #,Fault Trigger,Fixed,Duration,Reason,Description,Extended description,Operation Mode,Success
12/12/2016 18:36:36,,16376,Weld tool,12/12/2016 18:37:43,00:01:07,Finish command,Weld tool: Stud-arrival sensor detected no stud,The stud-arrival sensor detected no stud during a stud feeding process,Not ready,0
12/12/2016 18:36:32,,20112,Process Management,12/12/2016 18:37:42,00:01:10,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/12/2016 18:31:19,,20112,Process Management,12/12/2016 18:36:02,00:04:43,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/12/2016 15:30:11,,20112,Process Management,12/12/2016 15:30:44,00:00:33,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/12/2016 10:56:07,,20112,Process Management,12/12/2016 15:29:49,04:33:42,System restart,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/10/2016 12:53:04,,21066,Process Management,12/12/2016 10:55:41,,System restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 12:53:04,1-001,21066,Process Management,12/12/2016 10:55:41,,System restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 12:53:03,1-001,21065,Process Management,12/12/2016 10:55:41,,System restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 12:53:03,1-001,21050,Process Management,12/12/2016 10:55:41,,System restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 12:53:02,,20112,Process Management,12/10/2016 12:53:04,00:00:02,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/10/2016 12:51:11,,23045,Customer Interface,12/10/2016 12:52:50,00:01:39,Unknown reason,DCPU-CI: Start weld cycle not reset,"The signal ""Start weld cycle"" has been set:   > Before start of system  > Before or during a self resetting fault  > Before or during a partial operation stop",Automatic mode,0
12/10/2016 12:51:11,,23045,Customer Interface,12/10/2016 12:52:50,00:01:39,Finish command,DCPU-CI: Start weld cycle not reset,"The signal ""Start weld cycle"" has been set:   > Before start of system  > Before or during a self resetting fault  > Before or during a partial operation stop",Automatic mode,0
12/10/2016 12:39:08,,10017,SMPS,12/10/2016 12:50:42,00:11:34,System restart,Measurement line broken,Measurement line circuit disturbed.,Not ready,0
12/10/2016 12:39:06,,20112,Process Management,12/10/2016 12:39:09,00:00:03,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/10/2016 12:39:05,,10017,SMPS,12/10/2016 12:39:06,00:00:01,Self resetted,Measurement line broken,Measurement line circuit disturbed.,Automatic mode,0
12/10/2016 12:38:44,,21066,Process Management,12/10/2016 12:50:42,00:11:58,System restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 12:38:41,,21066,Process Management,12/10/2016 12:50:42,00:12:01,System restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Not ready,0
12/10/2016 12:38:40,,10017,SMPS,12/10/2016 12:38:41,00:00:01,Self resetted,Measurement line broken,Measurement line circuit disturbed.,Not ready,0
12/10/2016 12:38:40,,20112,Process Management,12/10/2016 12:38:44,00:00:04,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/10/2016 12:31:00,2-001,13011,LMC,12/10/2016 12:31:32,00:00:32,Restart,LMC: No room for lift,The linear motor can not execute the current lift because the is no room for the lift. Please check the stickout and lift higth values.  The remaining LM travel is insufficient for the programmed lift. The sum of the stickout and the programmed lift must ,Automatic mode,0
12/10/2016 12:30:10,2-001,21066,Process Management,12/10/2016 12:30:58,00:00:48,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 12:30:10,,21066,Process Management,12/10/2016 12:31:21,00:01:11,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 12:30:09,2-001,21065,Process Management,12/10/2016 12:30:58,00:00:49,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 12:30:09,2-001,21050,Process Management,12/10/2016 12:30:58,00:00:49,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 12:30:08,,20112,Process Management,12/10/2016 12:30:10,00:00:02,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/10/2016 12:26:50,2-001,21066,Process Management,12/10/2016 12:28:30,00:01:40,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 12:26:49,,21066,Process Management,12/10/2016 12:27:24,00:00:35,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 12:26:47,2-001,21065,Process Management,12/10/2016 12:28:30,00:01:43,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 12:26:47,2-001,21050,Process Management,12/10/2016 12:28:30,00:01:43,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 12:26:47,1-001,21065,Process Management,12/10/2016 12:27:24,00:00:37,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 12:26:47,1-001,21050,Process Management,12/10/2016 12:27:24,00:00:37,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 12:26:47,,20112,Process Management,12/10/2016 12:26:49,00:00:02,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/10/2016 11:38:28,2-001,21066,Process Management,12/10/2016 12:08:44,00:30:16,System restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 11:38:28,1-001,21066,Process Management,12/10/2016 12:08:44,00:30:16,System restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 11:38:26,1-001,21065,Process Management,12/10/2016 12:08:44,00:30:18,System restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:38:26,1-001,21050,Process Management,12/10/2016 12:08:44,00:30:18,System restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:38:26,2-001,21065,Process Management,12/10/2016 12:08:44,00:30:18,System restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:38:25,2-001,21050,Process Management,12/10/2016 12:08:44,00:30:19,System restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:38:25,,20112,Process Management,12/10/2016 11:38:28,00:00:03,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/10/2016 11:34:21,2-001,21066,Process Management,12/10/2016 11:38:12,00:03:51,Finish command,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 11:34:21,1-001,21066,Process Management,12/10/2016 11:38:07,00:03:46,Finish command,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 11:34:18,1-001,21065,Process Management,12/10/2016 11:38:07,00:03:49,Finish command,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:34:18,1-001,21050,Process Management,12/10/2016 11:38:07,00:03:49,Finish command,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:34:18,2-001,21065,Process Management,12/10/2016 11:38:12,00:03:54,Finish command,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:34:18,2-001,21050,Process Management,12/10/2016 11:38:12,00:03:54,Finish command,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:34:18,,20112,Process Management,12/10/2016 11:34:21,00:00:03,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/10/2016 11:27:30,2-001,20002,Process Management,12/10/2016 11:27:38,00:00:08,Restart,No SOW,The required signal SOW (stud on work) for starting a weld cycle is not recognized.,Automatic mode,0
12/10/2016 11:21:00,2-001,20002,Process Management,12/10/2016 11:21:40,00:00:40,Restart,No SOW,The required signal SOW (stud on work) for starting a weld cycle is not recognized.,Automatic mode,0
12/10/2016 11:19:22,2-001,20002,Process Management,12/10/2016 11:19:40,00:00:18,Restart,No SOW,The required signal SOW (stud on work) for starting a weld cycle is not recognized.,Automatic mode,0
12/10/2016 11:18:40,2-001,20002,Process Management,12/10/2016 11:19:08,00:00:28,Restart,No SOW,The required signal SOW (stud on work) for starting a weld cycle is not recognized.,Automatic mode,0
12/10/2016 11:08:49,2-001,21066,Process Management,12/10/2016 11:11:51,00:03:02,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 11:08:47,2-001,21065,Process Management,12/10/2016 11:11:51,00:03:04,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:08:47,2-001,21050,Process Management,12/10/2016 11:11:51,00:03:04,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:08:47,1-001,21065,Process Management,12/10/2016 11:11:51,00:03:04,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:08:47,1-001,21050,Process Management,12/10/2016 11:11:51,00:03:04,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 11:08:47,,20112,Process Management,12/10/2016 11:08:49,00:00:02,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/10/2016 11:02:58,,21031,Process Management,12/10/2016 11:06:05,00:03:07,System restart,Data connection weld tool,The communication between weld unit and weld tool is disturbed.,Docking,0
12/10/2016 11:02:47,,10017,SMPS,12/10/2016 11:02:54,00:00:07,Self resetted,Measurement line broken,Measurement line circuit disturbed.,Automatic mode,0
12/10/2016 11:01:28,,20003,Process Management,12/10/2016 11:06:05,00:04:37,System restart,Weld tool not in R position,The welder control detects that the weld tool is not in R position (rear position).,Automatic mode,0
12/10/2016 10:50:18,,20003,Process Management,12/10/2016 11:00:53,00:10:35,System restart,Weld tool not in R position,The welder control detects that the weld tool is not in R position (rear position).,Automatic mode,0
12/10/2016 10:50:18,,10017,SMPS,12/10/2016 10:50:23,00:00:05,Self resetted,Measurement line broken,Measurement line circuit disturbed.,Automatic mode,0
12/10/2016 10:31:48,2-001,21048,Process Management,12/10/2016 10:31:52,00:00:04,Self resetted,Fiber optic connection LMC,The communication between weld unit and LMC is disturbed.,Automatic mode,0
12/10/2016 10:17:40,2-001,21066,Process Management,12/10/2016 10:21:55,00:04:15,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/10/2016 10:17:39,2-001,21065,Process Management,12/10/2016 10:21:55,00:04:16,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 10:17:39,2-001,21050,Process Management,12/10/2016 10:21:55,00:04:16,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/10/2016 10:17:38,,20112,Process Management,12/10/2016 10:17:40,00:00:02,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/10/2016 10:15:53,2-001,21033,Process Management,12/10/2016 10:17:26,00:01:33,Restart,DCPU-PM: Whole weld cycle canceled due to missing feeder,The currently running weld process has been canceled due to missing of the selected feeder. The communication with the component which is needed for the whole weld cycle has failed.,Automatic mode,0
12/10/2016 10:13:34,,20040,Process Management,12/10/2016 10:13:36,00:00:02,Self resetted,Fiber optic connection SMPS,The internal communication with the SMPS is disturbed.,None,0
12/10/2016 10:07:22,,20003,Process Management,12/10/2016 10:12:05,00:04:43,Self resetted,Weld tool not in R position,The welder control detects that the weld tool is not in R position (rear position).,Not ready,0
12/10/2016 10:07:22,,20003,Process Management,12/10/2016 10:12:05,00:04:43,Self resetted,Weld tool not in R position,The welder control detects that the weld tool is not in R position (rear position).,Not ready,0
12/10/2016 10:07:21,,20103,Process Management,12/10/2016 10:12:20,00:04:59,Self resetted,CPM: Air pressure not sufficient,Input air pressure to the TE has fallen under the permitted value.,None,0
12/10/2016 10:07:20,,15004,Feeder 1,12/10/2016 10:12:19,00:04:59,Self resetted,Feeder: Air pressure not sufficient,Input air pressure to the feeder has fallen under the permitted value.,Automatic mode,0
12/10/2016 10:07:18,,15004,Feeder 1,12/10/2016 10:12:19,00:05:01,Self resetted,Feeder: Air pressure not sufficient,Input air pressure to the feeder has fallen under the permitted value.,Automatic mode,0
12/10/2016 01:55:15,2-001,20003,Process Management,12/10/2016 10:05:52,08:10:37,System restart,Weld tool not in R position,The welder control detects that the weld tool is not in R position (rear position).,Not ready,0
12/10/2016 01:55:04,,20003,Process Management,12/10/2016 10:05:52,08:10:48,System restart,Weld tool not in R position,The welder control detects that the weld tool is not in R position (rear position).,Not ready,0
12/10/2016 01:52:01,,20103,Process Management,12/10/2016 10:05:52,08:13:51,System restart,CPM: Air pressure not sufficient,Input air pressure to the TE has fallen under the permitted value.,None,0
12/10/2016 01:51:39,2-001,15004,Feeder 1,12/10/2016 10:05:52,08:14:13,System restart,Feeder: Air pressure not sufficient,Input air pressure to the feeder has fallen under the permitted value.,Not ready,0
12/10/2016 01:51:38,,15004,Feeder 1,12/10/2016 10:05:52,08:14:14,System restart,Feeder: Air pressure not sufficient,Input air pressure to the feeder has fallen under the permitted value.,Not ready,0
12/9/2016 20:41:38,,20112,Process Management,12/10/2016 10:05:52,,System restart,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/9/2016 20:40:35,2-001,21066,Process Management,12/10/2016 10:05:52,,System restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/9/2016 20:40:34,2-001,21050,Process Management,12/10/2016 10:05:52,,System restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 20:40:33,,20112,Process Management,12/9/2016 20:40:35,00:00:02,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/9/2016 20:40:32,2-001,13008,LMC,12/10/2016 10:05:52,,System restart,LMC: Penetration out of tolerance,The observed penetration is out of the programmed tolerance range.,Automatic mode,0
12/9/2016 20:01:41,2-001,21066,Process Management,12/9/2016 20:02:02,00:00:21,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/9/2016 20:01:39,2-001,21065,Process Management,12/9/2016 20:02:02,00:00:23,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 20:01:39,2-001,21050,Process Management,12/9/2016 20:02:02,00:00:23,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 20:01:39,,20112,Process Management,12/9/2016 20:01:41,00:00:02,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/9/2016 19:58:33,2-001,10030,SMPS,12/9/2016 20:00:10,00:01:37,Restart,SMPS: Weld out of tolerance,One or more of the observed weld parameters are out of the programmed tolerance range.,Automatic mode,0
12/9/2016 19:51:30,2-001,21066,Process Management,12/9/2016 19:51:38,00:00:08,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/9/2016 19:51:29,2-001,21065,Process Management,12/9/2016 19:51:38,00:00:09,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:51:29,2-001,21050,Process Management,12/9/2016 19:51:38,00:00:09,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:51:28,,20112,Process Management,12/9/2016 19:51:30,00:00:02,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/9/2016 19:50:29,2-001,21066,Process Management,12/9/2016 19:50:38,00:00:09,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/9/2016 19:50:29,1-001,21066,Process Management,12/9/2016 19:50:38,00:00:09,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/9/2016 19:50:27,1-001,21065,Process Management,12/9/2016 19:50:38,00:00:11,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:50:27,1-001,21050,Process Management,12/9/2016 19:50:38,00:00:11,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:50:27,2-001,21065,Process Management,12/9/2016 19:50:38,00:00:11,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:50:27,2-001,21050,Process Management,12/9/2016 19:50:38,00:00:11,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:50:27,,20112,Process Management,12/9/2016 19:50:29,00:00:02,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/9/2016 19:47:44,2-001,21066,Process Management,12/9/2016 19:50:12,00:02:28,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/9/2016 19:47:43,2-001,21065,Process Management,12/9/2016 19:50:12,00:02:29,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:47:43,2-001,21050,Process Management,12/9/2016 19:50:12,00:02:29,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:47:42,,20112,Process Management,12/9/2016 19:47:44,00:00:02,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/9/2016 19:43:59,2-001,21066,Process Management,12/9/2016 19:44:18,00:00:19,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/9/2016 19:43:59,1-001,21066,Process Management,12/9/2016 19:44:18,00:00:19,Restart,DCPU-PM: Self-resetting fault during weld process,A self-resetting fault has occured during a weld process. This fault ensures that the according weld process ends with an fault. The causal fault can be found in the fault history.,Automatic mode,0
12/9/2016 19:43:56,1-001,21065,Process Management,12/9/2016 19:44:18,00:00:22,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:43:56,1-001,21050,Process Management,12/9/2016 19:44:18,00:00:22,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:43:56,2-001,21065,Process Management,12/9/2016 19:44:18,00:00:22,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:43:56,2-001,21050,Process Management,12/9/2016 19:44:18,00:00:22,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:43:56,,20112,Process Management,12/9/2016 19:43:59,00:00:03,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
12/9/2016 19:40:55,2-001,13011,LMC,12/9/2016 19:41:03,00:00:08,Restart,LMC: No room for lift,The linear motor can not execute the current lift because the is no room for the lift. Please check the stickout and lift higth values.  The remaining LM travel is insufficient for the programmed lift. The sum of the stickout and the programmed lift must ,Automatic mode,0
12/9/2016 19:36:44,2-001,21065,Process Management,12/9/2016 19:37:07,00:00:23,Restart,DCPU-PM: Feed start signal invalid during current operation state,A feed start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:36:44,2-001,21050,Process Management,12/9/2016 19:37:07,00:00:23,Restart,DCPU-PM: Weld head move start signal invalid during current operation state,A weld head move start signal has been set with the weld unit being in an operation state that does not allow processing of start signals.,Not ready,0
12/9/2016 19:36:43,,20112,Process Management,12/9/2016 19:36:46,00:00:03,Self resetted,CPM: Pressure monitor protective gas,The CPM signals that the protective gas pressure has fallen below the limit value.,None,0
